loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/initial_learning_rate,config/decay_patience,config/decay_rate,config/num_layers,config/units_per_layer,config/activation,config/batch_size,config/epochs,config/h,config/patience,logdir
2170580.45,1732825584,,False,1,4507fe25,2024-11-28_21-26-24,414.6457431316376,414.6457431316376,23568,MW-PRD-197955,127.0.0.1,414.6457431316376,1,1e-05,100,0.5488766217815908,5,16,ReLU,64,2000,24,200,4507fe25
446756.0475,1732825752,,False,1,27ccdbae,2024-11-28_21-29-12,555.7267863750458,555.7267863750458,22768,MW-PRD-197955,127.0.0.1,555.7267863750458,1,1e-05,100,0.7028627687543498,5,16,ReLU,16,2000,24,200,27ccdbae
240424.039921875,1732825982,,False,1,8d7d0e3a,2024-11-28_21-33-02,759.9020249843597,759.9020249843597,16804,MW-PRD-197955,127.0.0.1,759.9020249843597,1,1e-05,100,0.7035063990212125,5,256,ReLU,16,2000,24,200,8d7d0e3a
450894.29921875,1732825806,,False,1,8a665695,2024-11-28_21-30-06,558.0635669231415,558.0635669231415,31704,MW-PRD-197955,127.0.0.1,558.0635669231415,1,1e-05,100,0.7071903765851867,5,16,ReLU,16,2000,24,200,8a665695
2842560.655,1732825841,,False,1,a30bbec4,2024-11-28_21-30-41,567.1208605766296,567.1208605766296,28292,MW-PRD-197955,127.0.0.1,567.1208605766296,1,1e-06,50,0.7110641379242608,6,16,ReLU,16,2000,24,200,a30bbec4
426818.63296875,1732825868,,False,1,6068fa1c,2024-11-28_21-31-08,570.8051118850708,570.8051118850708,4300,MW-PRD-197955,127.0.0.1,570.8051118850708,1,1e-05,50,0.7046175956988635,6,16,ReLU,16,2000,24,200,6068fa1c
440296.385,1732825891,,False,1,057c6091,2024-11-28_21-31-31,571.6139225959778,571.6139225959778,33048,MW-PRD-197955,127.0.0.1,571.6139225959778,1,1e-05,100,0.7520537693756758,6,16,ReLU,16,2000,24,200,057c6091
381215.34625,1732826187,,False,1,18955471,2024-11-28_21-36-27,839.530122756958,839.530122756958,3576,MW-PRD-197955,127.0.0.1,839.530122756958,1,1e-06,50,0.6756756215778932,6,256,ReLU,16,2000,24,200,18955471
3802504.21,1732826053,,False,1,ee6edfdd,2024-11-28_21-34-13,614.166273355484,614.166273355484,29916,MW-PRD-197955,127.0.0.1,614.166273355484,1,1e-06,50,0.748787683176673,6,16,ReLU,16,2000,24,200,ee6edfdd
377378.53328125,1732826582,,False,1,fb3720c3,2024-11-28_21-43-02,999.9504797458649,999.9504797458649,7092,MW-PRD-197955,127.0.0.1,999.9504797458649,1,1e-06,100,0.6785069335459911,6,256,ReLU,16,2000,24,200,fb3720c3
