pred,kWh,p,q,P,Q
6102680.067531854,6293650.576,0,0,0,0
6113134.941925727,6301211.6055,0,0,0,0
5957355.492725298,6172996.461124999,0,0,0,0
5911984.923342429,6133324.582125001,0,0,0,0
5879170.556720562,6074333.467125,0,0,0,0
5860037.068267681,6032271.8555,0,0,0,0
5926116.81601502,6097641.604125,0,0,0,0
5765889.001103394,6002771.80225,0,0,0,0
5608228.898343667,5816234.230125,0,0,0,0
5524894.344095692,5722594.104374999,0,0,0,0
5468127.407172777,5665226.8755,0,0,0,0
5125586.2073425725,5263810.021625,0,0,0,0
4910245.919062093,4972959.776,0,0,0,0
4719652.106544413,4810859.865875,0,0,0,0
4563261.076669194,4671729.241125,0,0,0,0
4402985.952679917,4523665.997625,0,0,0,0
4293469.841669403,4416941.465,0,0,0,0
4586186.321819223,4743397.38475,0,0,0,0
5317504.969390161,5462736.7915,0,0,0,0
6064361.359494649,6167420.440375,0,0,0,0
6485557.289333276,6567198.600875,0,0,0,0
6467899.3562930375,6688324.765625,0,0,0,0
6600865.504721746,6861892.08675,0,0,0,0
6643056.328398891,7002843.98725,0,0,0,0
6205583.823614538,6571904.007999999,0,0,0,0
6144220.991717063,6529628.276500001,0,0,0,0
6040810.392816111,6329183.892124999,0,0,0,0
5942942.62588273,6179490.646125,0,0,0,0
5895475.852659747,6071185.955125,0,0,0,0
5864004.208368517,6024212.3375,0,0,0,0
5924971.355506316,6104820.261124999,0,0,0,0
5821108.418921307,5960936.55625,0,0,0,0
5628954.1197317615,5722960.205125,0,0,0,0
5530598.073644698,5625310.025375,0,0,0,0
5499848.209008433,5556457.9315,0,0,0,0
5133723.368133418,5239181.342625,0,0,0,0
4825790.521975607,4945640.501,0,0,0,0
4642879.704243273,4774176.813875,0,0,0,0
4540534.968514733,4705956.008125,0,0,0,0
4357423.840518311,4536188.138625001,0,0,0,0
4238267.293893315,4404050.0479999995,0,0,0,0
4534856.955650464,4728756.84275,0,0,0,0
5190155.194280334,5400589.2045,0,0,0,0
5850387.464457847,6062532.747375,0,0,0,0
6177568.228353113,6308385.804874999,0,0,0,0
6188777.696294725,6236908.710625,0,0,0,0
6305505.521035746,6379117.2897499995,0,0,0,0
6427882.155279614,6516994.548250001,0,0,0,0
6116306.46425651,6160798.201,0,0,0,0
6154274.2740313485,6179516.0805,0,0,0,0
6112146.05242759,6109938.270125,0,0,0,0
6142414.642943002,6028090.579125,0,0,0,0
6236781.816113256,5984295.572125,0,0,0,0
6239318.066573106,5913353.871499999,0,0,0,0
6304949.500663735,5980830.565125,0,0,0,0
6144892.4398799315,5890981.731249999,0,0,0,0
5847551.289842285,5717842.957125001,0,0,0,0
5654730.905587956,5623975.988375001,0,0,0,0
5511864.041430987,5609448.6844999995,0,0,0,0
5159699.898511156,5241972.198625,0,0,0,0
4911329.909242108,4989902.75,0,0,0,0
4760916.05750262,4782990.377875,0,0,0,0
4525386.5928778425,4628228.084125,0,0,0,0
4375520.163370684,4464664.740625,0,0,0,0
4181839.169738516,4363396.524,0,0,0,0
4507227.204984941,4664438.73575,0,0,0,0
5256526.053727791,5312713.0105,0,0,0,0
6024235.28092555,5906990.845375,0,0,0,0
6484771.536522798,6197744.809875,0,0,0,0
6610679.36262285,6225793.532625,0,0,0,0
6750480.976382479,6331824.12875,0,0,0,0
6907459.254792973,6440100.57325,0,0,0,0
6570023.447457671,6081924.676,0,0,0,0
6563568.309919551,6068991.7225,0,0,0,0
6484356.48078981,5992592.381124999,0,0,0,0
6309901.821420975,5896814.116125001,0,0,0,0
6191447.663651772,5803598.903125,0,0,0,0
6231832.130468592,5853227.2355,0,0,0,0
6271089.121143125,5982935.280125,0,0,0,0
6115423.799142867,5891643.86425,0,0,0,0
5876567.89981398,5672605.423125001,0,0,0,0
5696613.931870364,5578344.2653749995,0,0,0,0
5602370.472415715,5537549.7685,0,0,0,0
5329687.860221282,5251386.533625,0,0,0,0
