datetime,pred,kWh,seasonality
2023-07-14 07:00:00,5744591.557163775,5775974.056375,168
2023-07-14 08:00:00,6126947.062771939,6068085.596875,168
2023-07-14 09:00:00,6202950.260642409,6129942.926625,168
2023-07-14 10:00:00,6324256.2937584,6200205.210750001,168
2023-07-14 11:00:00,6456922.609657325,6272808.592250001,168
2023-07-14 12:00:00,6105707.980676539,6007854.182,168
2023-07-14 13:00:00,6088155.667883612,5988477.4245,168
2023-07-14 14:00:00,5993408.477913447,5915274.812125,168
2023-07-14 15:00:00,5850601.8620664105,5823904.690125,168
2023-07-14 16:00:00,5742398.140651181,5671652.878125,168
2023-07-14 17:00:00,5784612.143609963,5745927.1275,168
2023-07-14 18:00:00,5862481.46111311,5850655.173125001,168
2023-07-14 19:00:00,5736816.345710792,5800503.830250001,168
2023-07-14 20:00:00,5512585.811591342,5631226.408125,168
2023-07-14 21:00:00,5374349.865899324,5507372.735375,168
2023-07-14 22:00:00,5312504.075714223,5474919.428499999,168
2023-07-14 23:00:00,5031714.485853769,5185717.046625,168
2023-07-15 00:00:00,4778958.773804538,4977610.158,168
2023-07-15 01:00:00,4562194.025241658,4822051.856375,168
2023-07-15 02:00:00,4374071.394304879,4588843.434375,168
2023-07-15 03:00:00,4148565.950244233,4351297.442875,168
2023-07-15 04:00:00,3926690.3595402166,4136418.5785,168
2023-07-15 05:00:00,3980760.0083443522,4156978.9717500005,168
2023-07-15 06:00:00,4154583.600295022,4339583.2325,168
2023-07-15 07:00:00,4347186.320531569,4466133.7065,168
2023-07-15 08:00:00,4637491.134736858,4773891.970125,168
2023-07-15 09:00:00,4845136.875362866,4969899.48325,168
2023-07-15 10:00:00,4945637.498559557,5066710.858750001,168
2023-07-15 11:00:00,5015855.986009933,5125126.4473749995,168
2023-07-15 12:00:00,4949326.154219262,5064822.776374999,168
2023-07-15 13:00:00,4835347.5410760045,5053556.040125,168
2023-07-15 14:00:00,4820805.274224944,5048830.934125001,168
2023-07-15 15:00:00,4785004.366002031,5076739.144125,168
