loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/p,config/q,config/P,config/Q,config/d,config/D,logdir
199285.20731156782,1732934740,,False,1,39e6cf7b,2024-11-30_03-45-40,844.5116164684296,844.5116164684296,35884,MW-PRD-197955,127.0.0.1,844.5116164684296,1,7,3,0,1,1,1,39e6cf7b
199285.20731156782,1732934738,,False,1,cbc80d73,2024-11-30_03-45-38,810.2249920368195,810.2249920368195,34264,MW-PRD-197955,127.0.0.1,810.2249920368195,1,7,3,0,1,1,1,cbc80d73
199285.20731156782,1732934850,,False,1,55f3a71d,2024-11-30_03-47-30,791.6159570217133,791.6159570217133,20492,MW-PRD-197955,127.0.0.1,791.6159570217133,1,7,3,0,1,1,1,55f3a71d
199285.20731156782,1732935323,,False,1,ecae5d39,2024-11-30_03-55-23,792.047990322113,792.047990322113,29640,MW-PRD-197955,127.0.0.1,792.047990322113,1,7,3,0,1,1,1,ecae5d39
205908.1950196273,1732934946,,False,1,eca1a32e,2024-11-30_03-49-06,200.79065370559692,200.79065370559692,2756,MW-PRD-197955,127.0.0.1,200.79065370559692,1,0,3,0,1,1,1,eca1a32e
221392.24478335452,1732935646,,False,1,3a5580ed,2024-11-30_04-00-46,892.6716105937958,892.6716105937958,3208,MW-PRD-197955,127.0.0.1,892.6716105937958,1,7,4,0,1,1,1,3a5580ed
221392.24478335452,1732935730,,False,1,82e934e7,2024-11-30_04-02-10,887.8420362472534,887.8420362472534,35728,MW-PRD-197955,127.0.0.1,887.8420362472534,1,7,4,0,1,1,1,82e934e7
221112.5169383004,1732934915,,False,1,4be577b8,2024-11-30_03-48-35,57.16003060340881,57.16003060340881,28412,MW-PRD-197955,127.0.0.1,57.16003060340881,1,7,4,0,0,1,1,4be577b8
212943.80737085294,1732936589,,False,1,86425a0a,2024-11-30_04-16-29,1667.1847937107086,1667.1847937107086,5992,MW-PRD-197955,127.0.0.1,1667.1847937107086,1,14,15,0,1,1,1,86425a0a
220168.268823086,1732935038,,False,1,53c753b5,2024-11-30_03-50-38,84.4404559135437,84.4404559135437,19988,MW-PRD-197955,127.0.0.1,84.4404559135437,1,7,14,0,0,1,1,53c753b5
212672.55940536133,1732936006,,False,1,6fbfc7d8,2024-11-30_04-06-46,960.8243353366852,960.8243353366852,39984,MW-PRD-197955,127.0.0.1,960.8243353366852,1,14,2,0,1,1,1,6fbfc7d8
211297.21982061755,1732936307,,False,1,ee249133,2024-11-30_04-11-47,977.2148990631104,977.2148990631104,26220,MW-PRD-197955,127.0.0.1,977.2148990631104,1,11,4,0,1,1,1,ee249133
212531.26760942824,1732936564,,False,1,a2debed1,2024-11-30_04-16-04,910.8002710342407,910.8002710342407,14964,MW-PRD-197955,127.0.0.1,910.8002710342407,1,12,2,0,1,1,1,a2debed1
212806.37206025238,1732936683,,False,1,44e5839e,2024-11-30_04-18-03,946.3028643131256,946.3028643131256,36724,MW-PRD-197955,127.0.0.1,946.3028643131256,1,13,2,0,1,1,1,44e5839e
211230.61633002994,1732936896,,False,1,f2c12a87,2024-11-30_04-21-36,881.9181852340698,881.9181852340698,35964,MW-PRD-197955,127.0.0.1,881.9181852340698,1,11,2,0,1,1,1,f2c12a87
211951.14967444653,1732937096,,False,1,1675e16f,2024-11-30_04-24-56,780.8038730621338,780.8038730621338,2024,MW-PRD-197955,127.0.0.1,780.8038730621338,1,8,2,0,1,1,1,1675e16f
