loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/num_leaves,config/learning_rate,config/n_estimators,config/subsample,config/reg_alpha,config/reg_lambda,logdir
919592.1923951389,1732979163,,False,1,f582ae88,2024-11-30_16-06-03,43.37304162979126,43.37304162979126,20264,MW-PRD-197955,127.0.0.1,43.37304162979126,1,84,0.0029682043410663547,474,0.9102623688926236,28.90461125589275,32.19173203435205,f582ae88
1194827.4077047808,1732979159,,False,1,159bc53b,2024-11-30_16-05-59,31.13314199447632,31.13314199447632,18128,MW-PRD-197955,127.0.0.1,31.13314199447632,1,99,0.00519344730034014,20,0.9140570859005545,25.5915876746042,31.812931731651215,159bc53b
1205348.680393102,1732979172,,False,1,40b55be2,2024-11-30_16-06-12,36.39517879486084,36.39517879486084,38280,MW-PRD-197955,127.0.0.1,36.39517879486084,1,27,1.9581740689795615e-06,540,0.9130487070900768,29.94766773485963,34.077467671825914,40b55be2
1123171.3416724256,1732979184,,False,1,03fb63ab,2024-11-30_16-06-24,36.63939714431763,36.63939714431763,42684,MW-PRD-197955,127.0.0.1,36.63939714431763,1,27,0.0010861515553954612,539,0.9231686623221151,27.522388436686178,29.636412491999927,03fb63ab
1205389.267760926,1732979191,,False,1,54a35ad1,2024-11-30_16-06-31,36.39985251426697,36.39985251426697,28196,MW-PRD-197955,127.0.0.1,36.39985251426697,1,28,1.106401261649899e-06,534,0.9033125535283059,55.40203078539607,30.155324638311257,54a35ad1
1205373.6150407877,1732979198,,False,1,dc0f329d,2024-11-30_16-06-38,35.21412134170532,35.21412134170532,19784,MW-PRD-197955,127.0.0.1,35.21412134170532,1,29,1.4136796599194368e-06,546,0.9350746681643974,53.762105366603826,32.380811850085934,dc0f329d
352415.0594858437,1732979206,,False,1,a0eaadca,2024-11-30_16-06-46,34.45129895210266,34.45129895210266,16580,MW-PRD-197955,127.0.0.1,34.45129895210266,1,25,0.4932811891260236,551,0.877657416631776,59.30824365199566,0.9447854287724509,a0eaadca
1205333.9488518846,1732979216,,False,1,c8eab375,2024-11-30_16-06-56,36.586345911026,36.586345911026,40000,MW-PRD-197955,127.0.0.1,36.586345911026,1,28,1.589050356567169e-06,539,0.8531302771669579,57.59216280724809,6.391110556304334,c8eab375
285902.24383574165,1732979217,,False,1,025babf3,2024-11-30_16-06-57,29.899919509887695,29.899919509887695,14464,MW-PRD-197955,127.0.0.1,29.899919509887695,1,10,0.49259679389642985,128,0.8580295924437787,61.73184270920962,1.1481049474364111,025babf3
376153.87323713873,1732979228,,False,1,31962d18,2024-11-30_16-07-08,29.316498279571533,29.316498279571533,23212,MW-PRD-197955,127.0.0.1,29.316498279571533,1,10,0.04139669464603385,118,0.8487559501060418,59.71659922377923,1.5787682702665364,31962d18
522764.0080077248,1732979235,,False,1,21b2f24d,2024-11-30_16-07-15,28.88200306892395,28.88200306892395,14076,MW-PRD-197955,127.0.0.1,28.88200306892395,1,10,0.02554180330894844,93,0.8511771075081349,16.383290674588228,0.005929381843074566,21b2f24d
479787.45802554965,1732979251,,False,1,58802d75,2024-11-30_16-07-31,29.01191997528076,29.01191997528076,39116,MW-PRD-197955,127.0.0.1,29.01191997528076,1,10,0.0251401944720224,112,0.8301671807029917,43.37616796132865,21.306390552279403,58802d75
287333.64460597315,1732979260,,False,1,f23f8c0d,2024-11-30_16-07-40,30.483190298080444,30.483190298080444,20140,MW-PRD-197955,127.0.0.1,30.483190298080444,1,18,0.025188201681334017,361,0.9953206004694573,44.56568546896158,22.30320799289587,f23f8c0d
291598.2030857676,1732979278,,False,1,acb9f2ae,2024-11-30_16-07-58,39.236777782440186,39.236777782440186,33592,MW-PRD-197955,127.0.0.1,39.236777782440186,1,60,0.014684877095037465,651,0.9918228369793967,41.321650252067684,42.37982132091446,acb9f2ae
284101.45946375094,1732979287,,False,1,2253b315,2024-11-30_16-08-07,41.0163094997406,41.0163094997406,27680,MW-PRD-197955,127.0.0.1,41.0163094997406,1,61,0.10296015329194781,689,0.8009970082029549,74.02585060492191,43.647160587814646,2253b315
296952.1073081734,1732979307,,False,1,8c28a493,2024-11-30_16-08-27,41.59960198402405,41.59960198402405,35604,MW-PRD-197955,127.0.0.1,41.59960198402405,1,61,0.13118295178062073,669,0.7979567431729107,74.48519548524256,65.41049597363839,8c28a493
281748.61020588427,1732979315,,False,1,47c2c175,2024-11-30_16-08-35,42.15335655212402,42.15335655212402,14932,MW-PRD-197955,127.0.0.1,42.15335655212402,1,59,0.10319889508518618,674,0.7813988391106189,72.8489745844712,46.33720478859662,47c2c175
288073.0901063008,1732979329,,False,1,82b170fa,2024-11-30_16-08-49,44.28316640853882,44.28316640853882,6648,MW-PRD-197955,127.0.0.1,44.28316640853882,1,64,0.1272207449322,693,0.7856554015344609,73.61414876883839,46.86155266014106,82b170fa
283995.22193369566,1732979339,,False,1,0a55729b,2024-11-30_16-08-59,46.898380279541016,46.898380279541016,41560,MW-PRD-197955,127.0.0.1,46.898380279541016,1,67,0.14430033113249924,664,0.7774850716678179,71.83123741583124,41.4850838487858,0a55729b
292679.8673076698,1732979347,,False,1,9a902198,2024-11-30_16-09-07,47.34351825714111,47.34351825714111,35296,MW-PRD-197955,127.0.0.1,47.34351825714111,1,68,0.11822017928326989,629,0.7509332056725555,91.4950230813409,64.09685790664577,9a902198
286860.8410075245,1732979359,,False,1,58289d96,2024-11-30_16-09-19,48.684321641922,48.684321641922,33288,MW-PRD-197955,127.0.0.1,48.684321641922,1,70,0.1380170760952464,631,0.7564808141727326,98.18849842608913,68.47716731025821,58289d96
281277.2355666772,1732979369,,False,1,f1a8588a,2024-11-30_16-09-29,51.12906789779663,51.12906789779663,22612,MW-PRD-197955,127.0.0.1,51.12906789779663,1,69,0.11062775261430492,733,0.7523477920796247,99.14245777767009,11.158282344624642,f1a8588a
273364.3204336663,1732979378,,False,1,b7b65da2,2024-11-30_16-09-38,48.73312973976135,48.73312973976135,23904,MW-PRD-197955,127.0.0.1,48.73312973976135,1,71,0.1650052055060042,615,0.7251809853695104,97.15063304937709,11.586427874590488,b7b65da2
282051.43227903475,1732979388,,False,1,6d273445,2024-11-30_16-09-48,50.18816375732422,50.18816375732422,40648,MW-PRD-197955,127.0.0.1,50.18816375732422,1,74,0.21564396603453714,622,0.7199066445418518,97.60480825684155,7.078520313908388,6d273445
284110.7658075171,1732979395,,False,1,aa89399e,2024-11-30_16-09-55,49.221495151519775,49.221495151519775,5464,MW-PRD-197955,127.0.0.1,49.221495151519775,1,70,0.2111707046571284,611,0.728174133641754,92.12423449244247,8.29839856819984,aa89399e
274125.19111120875,1732979394,,False,1,67947127,2024-11-30_16-09-54,38.76070523262024,38.76070523262024,35256,MW-PRD-197955,127.0.0.1,38.76070523262024,1,75,0.06802784038427273,226,0.7216483728688882,94.56792189067104,8.520527296220681,67947127
286698.09706663125,1732979404,,False,1,1684a415,2024-11-30_16-10-04,38.66807007789612,38.66807007789612,37876,MW-PRD-197955,127.0.0.1,38.66807007789612,1,76,0.05933625203020391,224,0.7256505680430327,97.86968908120295,11.09719684215057,1684a415
288720.943132027,1732979431,,False,1,bcfc63aa,2024-11-30_16-10-31,56.21501922607422,56.21501922607422,39768,MW-PRD-197955,127.0.0.1,56.21501922607422,1,74,0.062951444775863,776,0.7394371387431993,81.56638770986297,57.93038140130962,bcfc63aa
279820.124728556,1732979437,,False,1,66d545aa,2024-11-30_16-10-37,54.5762460231781,54.5762460231781,43664,MW-PRD-197955,127.0.0.1,54.5762460231781,1,79,0.0567364098576876,758,0.711531140979382,91.28440484239187,9.308552110709194,66d545aa
267746.89571588417,1732979429,,False,1,cf9b17a4,2024-11-30_16-10-29,37.967283487319946,37.967283487319946,34536,MW-PRD-197955,127.0.0.1,37.967283487319946,1,81,0.06110205126475152,229,0.720580486379633,89.96272014977329,7.7371843186095575,cf9b17a4
270693.40085620695,1732979452,,False,1,77bbe5cd,2024-11-30_16-10-52,51.47370505332947,51.47370505332947,3728,MW-PRD-197955,127.0.0.1,51.47370505332947,1,76,0.053368477607899305,760,0.7144356859172205,88.3364290732591,15.36785900709449,77bbe5cd
277278.6933817595,1732979451,,False,1,2f798054,2024-11-30_16-10-51,38.365686893463135,38.365686893463135,24964,MW-PRD-197955,127.0.0.1,38.365686893463135,1,79,0.052555078793903406,224,0.6920699469396077,87.52177687794428,19.953019551937196,2f798054
528980.49411504,1732979462,,False,1,72b8fb3d,2024-11-30_16-11-02,41.316471576690674,41.316471576690674,18584,MW-PRD-197955,127.0.0.1,41.316471576690674,1,87,0.00952485865181476,282,0.6817246213063891,84.85242914179659,23.064290565779928,72b8fb3d
562715.4859527944,1732979471,,False,1,416f6c49,2024-11-30_16-11-11,38.03304576873779,38.03304576873779,43272,MW-PRD-197955,127.0.0.1,38.03304576873779,1,85,0.008919937130428098,282,0.6819789410571563,84.18981334032249,18.609970593782744,416f6c49
427734.8818216975,1732979481,,False,1,db4de961,2024-11-30_16-11-21,40.12536096572876,40.12536096572876,35484,MW-PRD-197955,127.0.0.1,40.12536096572876,1,87,0.011968270422349592,268,0.7087445906260466,86.37639696782804,18.541599714647727,db4de961
